taxonID,acceptedTaxonID,scientificName,scientificNameAuthorship,taxonRank,nameAccordingToID,nameAccordingToTitle,order,family,subfamily,tribe,genus,subgenus,speciesGroup,specificEpithet,infraspecificEpithet
ABAPAR,ABAPAR,Abax parallelepipedus,Piller and Mitterpacher,species,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Pterostichini,Abax,Abax,NA,parallelepipedus,NA
ABASP,ABASP,Abax (Abax) sp.,Bonelli,subgenus,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Pterostichini,Abax,Abax,NA,sp.,NA
ABASP1,ABASP1,Abaris (Abaridius) sp.,Chaudoir,subgenus,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Pterostichini,Abaris,Abaridius,NA,sp.,NA
ABASP2,ABASP2,Abax sp.,Bonelli,genus,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Pterostichini,Abax,NA,NA,sp.,NA
ABASP3,ABASP3,Abaris sp.,Dejean,genus,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Pterostichini,Abaris,NA,NA,sp.,NA
ABASP4,ABASP4,Abacetini sp.,Chaudoir,tribe,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Abacetini,NA,NA,NA,sp.,NA
ABASPL,ABASPL,Abaris splendidula,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Pterostichini,Abaris,Abaridius,NA,splendidula,NA
ACAADV,CALADV,Acalathus advena,NA,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Acalathus,NA,NA,advena,NA
ACUALT,PHIALT,Acupalpus alternans,LeConte,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Acupalpus,NA,NA,alternans,NA
ACUCAN,ACUCAN,Acupalpus canadensis,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Harpalini,Acupalpus,Acupalpus,NA,canadensis,NA
ACUCAR,ACUCAR,Acupalpus carus,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Harpalini,Acupalpus,Acupalpus,NA,carus,NA
ACUFLA,PHIFLA,Acupalpus flavilimbus,LeConte,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Acupalpus,NA,NA,flavilimbus,NA
ACUHYD,ACUHYD,Acupalpus hydropicus,LeConte,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Harpalini,Acupalpus,Acupalpus,NA,hydropicus,NA
ACUIND,ACUIND,Acupalpus indistinctus,Dejean,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Harpalini,Acupalpus,Tachistodes,NA,indistinctus,NA
ACULAM,ACULAM,Acupalpus lamprotus,Bates,species,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Carabidae,Harpalinae,Harpalini,Acupalpus,NA,NA,lamprotus,NA
ACULON,PHILON,Acupalpus longulus,Dejean,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Acupalpus,NA,NA,longulus,NA
ACULUC,PHIFLA,Acupalpus lucens,Casey,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Acupalpus,NA,NA,lucens,NA
ACUMER,ACUMER,Acupalpus meridianus,Linnaeus,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Harpalini,Acupalpus,Acupalpus,NA,meridianus,NA
ACUNAN,ACUNAN,Acupalpus nanellus,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Harpalini,Acupalpus,Acupalpus,NA,nanellus,NA
ACUPAR,ACUPAR,Acupalpus partiarius,Say,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Harpalinae,Harpalini,Acupalpus,Tachistodes,NA,partiarius,NA
