"site","Observed.rich","Estimator.rich","Est_s.e..rich","year","Observed.div","Estimator.div","Est_s.e..div","turnover","propObs.rich","propObs.div","traps","years","final.obs.div","final.obs.rich","final.est.div.se","final.est.rich.se","prop.final.est.div","prop.final.est.rich","final.est.div","final.est.rich","warning","signif.rich","signif.div","final.signif.rich","final.signif.div","signifText.rich","signifText.div","obsRank"
"ABBY",18,28.5244444444444,13.8043600645121,"2016",8.41180053274383,9.68942815508223,1.27740245581173,NA,0.631037706450608,0.868142102723753,75,1,13.6917844864877,48,0.311679314335781,17.520604948825,0.606490818309977,0.319556283203582,13.8696255224173,56.3281053952321,"N",0,1,1,1,"Overlap","No Overlap",23
"ABBY",38,44.3871227364185,11.2808263691879,"2017",15.7778834900145,16.3164826776439,0.669109167745462,0.631578947368421,0.856104150423383,0.966990484513714,497,2,13.6917844864877,48,0.311679314335781,17.520604948825,1.13758539944088,0.67461882009645,13.8696255224173,56.3281053952321,"N",0,0,1,1,"Overlap","Overlap",23
"ABBY",42,51.9878345498783,13.6299442328622,"2018",15.0964968484043,15.4548276161214,0.550163933871129,0.49527665317139,0.80788131230402,0.976814314813621,822,3,13.6917844864877,48,0.311679314335781,17.520604948825,1.08845742258895,0.745631327475024,13.8696255224173,56.3281053952321,"N",0,0,0,1,"Overlap","Overlap",23
"ABBY",45,55.0743303571429,17.8671826535406,"2019",14.3944381056334,14.6575375940312,0.356877853593806,0.456310561573719,0.817077569680586,0.982050225918921,1120,4,13.6917844864877,48,0.311679314335781,17.520604948825,1.03783898724359,0.798890708008955,13.8696255224173,56.3281053952321,"N",0,0,0,1,"Overlap","Overlap",23
"ABBY",46,55.9919289749798,11.4530339523811,"2020",14.420407298164,14.661539327367,0.42492092331726,0.448293527240896,0.821546977253726,0.983553430249106,1239,5,13.6917844864877,48,0.311679314335781,17.520604948825,1.03971136602473,0.816643834853598,13.8696255224173,56.3281053952321,"N",0,0,0,1,"Overlap","Overlap",23
"ABBY",46,54.094402211472,17.4565747296765,"2021",13.9347216543291,14.1274015110437,0.335273586412574,0.447523710681605,0.85036525258513,0.986361267033864,1447,6,13.6917844864877,48,0.311679314335781,17.520604948825,1.00469343111006,0.816643834853598,13.8696255224173,56.3281053952321,"N",0,0,0,1,"Overlap","Overlap",23
"ABBY",48,56.3281053952321,9.24308490114371,"2022",13.6917844864877,13.8696255224173,0.304385164802673,0.439603092234671,0.852150088542885,0.987177661311605,1594,7,13.6917844864877,48,0.311679314335781,17.520604948825,0.987177661311605,0.852150088542885,13.8696255224173,56.3281053952321,"N",0,0,0,1,"Overlap","Overlap",23
"ABBY",48,56.3281053952321,17.520604948825,"full",13.6917844864877,13.8696255224173,0.311679314335781,0.439603092234671,0.852150088542885,0.987177661311605,1594,7,13.6917844864877,48,0.311679314335781,17.520604948825,0.987177661311605,0.852150088542885,13.8696255224173,56.3281053952321,"N",0,0,0,1,"Overlap","Overlap",23
"BARR",5,5,0.303615861806336,"2017",3.0062897642918,3.06224570345961,0.222812306062915,NA,1,0.981727155628109,80,1,3.36649947938927,8,0.140748022366583,0.517861413158439,0.885544935722985,0.625,3.39484722120552,8,"N",0,0,1,1,"Overlap","Overlap",47
"BARR",5,5,0.352863522355374,"2018",2.96496332706343,2.99607484419454,0.169120698318615,0.333333333333333,1,0.989615907896495,143,2,3.36649947938927,8,0.140748022366583,0.517861413158439,0.873371652350989,0.625,3.39484722120552,8,"N",0,0,1,1,"Overlap","Overlap",47
