file,fileDescription,fieldName,fieldDescription,dataType,units,source
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,archiveSampleCode,Barcode of archive sample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,archiveVialID,Identifier for the vial containing specimens for archive,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,collectDate,Date of the collection event,dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,domainID,Unique identifier of the NEON domain,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,namedLocation,Name of the measurement location in the NEON database,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,plotID,Plot identifier (NEON site code_XXX),string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,pooledFromMultiplePlots,"Data quality flag indicating when composite samples, pooled samples, or sample mixtures are derived from more than one plot at a site",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,processingDate,"Date that sample was processed (i.e., sorted or pinned) in the domain lab",dateTime,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,recordedBy,An identifier for the technician who recorded the data,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,remarks,Technician notes; free text comments accompanying the record,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,sampleCondition,Condition of a sample,string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,https://doi.org/10.48443/cd21-q875
CleanNEONData.Robj,NEON beetle pitfall data reformated for the purpose of analysis,setDate,Date that trap was set,dateTime,NA,https://doi.org/10.48443/cd21-q875
